국적(지역) 및 체류자격별 장단기체류외국인(2021. 4. 30.현재),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,단 기 체 류 자 격,,,,,  장 기 체 류 자 격,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대륙,국적,성별,총합계,B1(사증면제),B2(관광통과),C1(일시취재),C3(단기방문),C4(단기취업),D1(문화예술),D2(유학),D3(기술연수),D4(일반연수),D5(취재),D6(종교),D7(주재),D8(기업투자),D9(무역경영),D10(구직),E1(교수),E2(회화),E3(연구),E4(기술지도),E5(전문직업),E6(예술흥행),E7(특정활동),E8(계절근로),E9(비전문취업),E10(선원취업),F1(방문동거),F2(거주),F3(동반),F4(재외동포),F5(영주),F6(결혼이민),G1(기타),H1(관광취업),H2(방문취업),T1(관광상륙),T2(조건부입국허가),기타,,,,,
아시아주,마카오,여성,73,,9,,,,,25,,10,,,,1,,4,,,,,,,4,,,,2,1,,,4,12,1,,,,,,,,,,
아시아주,팔레스타인,총계,59,,,,4,1,,9,,2,,,,10,2,1,1,,1,,,,,,,,,4,6,,6,2,9,,,,,1,,,,,
아시아주,팔레스타인,남성,49,,,,3,1,,7,,1,,,,10,2,1,1,,1,,,,,,,,,2,5,,5,2,7,,,,,1,,,,,
아시아주,팔레스타인,여성,10,,,,1,,,2,,1,,,,,,,,,,,,,,,,,,2,1,,1,,2,,,,,,,,,,
아시아주,브루나이,총계,59,,1,,2,,,10,,3,,,1,,,1,,,,,3,,1,,,,2,,,2,,1,,,,,,32,,,,,
아시아주,브루나이,남성,24,,1,,1,,,,,1,,,,,,,,,,,3,,,,,,2,,,,,,,,,,,16,,,,,
아시아주,브루나이,여성,35,,,,1,,,10,,2,,,1,,,1,,,,,,,1,,,,,,,2,,1,,,,,,16,,,,,
아시아주,쿠웨이트,총계,51,,5,,5,,,2,,2,,,2,,,,,,,,,,,,,,,1,3,1,,2,2,,,,,26,,,,,
아시아주,쿠웨이트,남성,26,,2,,2,,,1,,,,,2,,,,,,,,,,,,,,,,1,,,1,1,,,,,16,,,,,
아시아주,쿠웨이트,여성,25,,3,,3,,,1,,2,,,,,,,,,,,,,,,,,,1,2,1,,1,1,,,,,10,,,,,
아시아주,레바논,총계,43,,,,4,1,,4,,2,,,,1,,1,,,1,1,,,4,,,,1,,2,,1,6,1,,,,,13,,,,,
아시아주,레바논,남성,29,,,,3,1,,3,,1,,,,1,,1,,,,1,,,3,,,,1,,1,,,4,1,,,,,8,,,,,
아시아주,레바논,여성,14,,,,1,,,1,,1,,,,,,,,,1,,,,1,,,,,,1,,1,2,,,,,,5,,,,,
아시아주,오만,총계,41,,2,,6,,,6,,6,,,,,,,,,,,,,,,,,,,2,,,,,,,,,19,,,,,
아시아주,오만,남성,17,,1,,1,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,
아시아주,오만,여성,24,,1,,5,,,4,,5,,,,,,,,,,,,,,,,,,,2,,,,,,,,,7,,,,,
아시아주,키프로스,총계,31,,10,,,,,2,,,,,1,,1,,,,,1,1,2,1,,,,,4,2,1,3,1,,,,,,1,,,,,
아시아주,키프로스,남성,21,,10,,,,,,,,,,1,,1,,,,,1,1,2,1,,,,,2,1,,1,,,,,,,,,,,,
아시아주,키프로스,여성,10,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,1,1,2,1,,,,,,1,,,,,
아시아주,카타르,총계,29,,3,,,,,4,,1,,,1,,,,,,,,,,,,,,,,1,,,,2,,,,,17,,,,,
아시아주,카타르,남성,20,,2,,,,,2,,,,,1,,,,,,,,,,,,,,,,1,,,,2,,,,,12,,,,,
아시아주,카타르,여성,9,,1,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,
아시아주,부탄,총계,28,,,,1,,,8,,5,,,,1,,,1,,,,,,1,,,,,,1,,,6,,,,,,4,,,,,
아시아주,부탄,남성,11,,,,1,,,4,,,,,,1,,,1,,,,,,1,,,,,,,,,1,,,,,,2,,,,,
아시아주,부탄,여성,17,,,,,,,4,,5,,,,,,,,,,,,,,,,,,,1,,,5,,,,,,2,,,,,
아시아주,홍콩거주난민,총계,15,,10,,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,
아시아주,홍콩거주난민,남성,7,,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
아시아주,홍콩거주난민,여성,8,,5,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,
